source,targets,weights,n_cites,cited_by,x,y
antibiotic,"['exposure', 'studies', 'cohort', 'examined', 'early', 'prenatal', 'childhood', 'risk', 'factor', 'autism', 'study', 'wimberley', 'large', 'et', 'assessed', 'performed', 'overlapping', 'danish', 'types', 'populations']","[15, 10, 8, 8, 6, 6, 6, 4, 4, 4, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",18,"1,28,3,2,4,6,5,9,8,7,29,13,11,10,16,17,18,14",21.872280296937234,12.84048043393237
exposure,"['studies', 'prenatal', 'factor', 'study', 'risk', 'types', 'wimberley', 'populations', 'performed', 'large', 'overlapping', 'life', 'spectrum', 'involving']","[11, 7, 4, 4, 4, 3, 3, 2, 2, 2, 2, 1, 1, 1]",12,"28,6,8,29,9,14,16,13,17,39,27,36",20.847855204521895,25.39186660405541
examined,"['exposure', 'studies', 'prenatal', 'factor', 'study', 'risk', 'types', 'wimberley', 'performed', 'large', 'overlapping', 'populations']","[10, 6, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1]",10,"1,28,6,8,29,9,16,13,17,14",33.7292836647324,26.594416226652633
cohort,"['studies', 'exposure', 'factor', 'prenatal', 'early', 'examined', 'risk', 'populations', 'performed', 'overlapping', 'large', 'danish']","[8, 8, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2]",12,"28,1,8,6,4,2,9,14,16,17,13,18",16.868167573932837,4.969460664535148
early,"['exposure', 'studies', 'examined', 'factor', 'risk', 'wimberley']","[8, 5, 4, 2, 2, 1]",5,"1,28,2,8,9",42.44216897218198,14.939998446630879
childhood,"['exposure', 'studies', 'early', 'examined', 'cohort', 'factor', 'risk']","[7, 5, 5, 4, 4, 2, 2]",7,"1,28,4,2,3,8,9",36.814744199179096,9.186024002989196
prenatal,"['studies', 'risk', 'study', 'types', 'wimberley']","[5, 2, 1, 1, 1]",3,"28,9,29",3.9459414001525577,24.33504119418099
autism,"['studies', 'exposure', 'cohort', 'early', 'disorders', 'prenatal', 'examined', 'factor', 'risk', 'spectrum', 'childhood', 'danish']","[5, 5, 4, 3, 3, 2, 2, 2, 2, 2, 2, 1]",12,"28,1,3,4,15,6,2,8,9,27,5,18",45.30118080347072,-14.77524815625873
factor,"['studies', 'risk', 'prenatal', 'large', 'overlapping', 'performed', 'populations']","[4, 2, 2, 1, 1, 1, 1]",7,"28,9,6,13,17,16,14",8.658395706768985,-5.171462206291455
risk,['studies'],[4],1,28,17.908577576763367,-13.993299280817373
assessed,"['exposure', 'examined', 'wimberley', 'childhood', 'early', 'et', 'prenatal', 'studies', 'study', 'types']","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",8,"1,2,5,4,11,6,28,29",44.53689602283841,45.129385718181155
et,"['exposure', 'examined', 'prenatal', 'studies', 'study', 'types', 'wimberley']","[3, 2, 1, 1, 1, 1, 1]",5,"1,2,6,28,29",27.310457527519823,58.45122447076181
al,"['exposure', 'examined', 'antibiotic']","[3, 2, 2]",3,"1,2,0",2.8987531664774004,42.535550567788114
large,"['prenatal', 'studies', 'overlapping', 'performed', 'populations', 'risk']","[2, 2, 1, 1, 1, 1]",6,"6,28,17,16,14,9",-19.809278059687013,-5.7985823868352435
populations,"['studies', 'prenatal', 'risk']","[2, 2, 1]",3,"28,6,9",-20.10114263767207,18.719886456151038
disorders,['spectrum'],[2],1,27,66.594435312888,-45.42537013444888
performed,"['studies', 'prenatal', 'populations', 'risk']","[2, 2, 1, 1]",4,"28,6,14,9",-8.544911617700766,10.266436932879827
overlapping,"['studies', 'prenatal', 'performed', 'populations', 'risk']","[2, 2, 1, 1, 1]",5,"28,6,16,14,9",-6.735341827028039,-4.421458037579857
danish,"['studies', 'prenatal', 'exposure', 'factor']","[2, 2, 2, 1]",4,"28,6,1,8",-0.7332119997796374,-27.75835949937614
evidence,"['observational', 'reviewed', 'systematically', 'studies', 'spectrum']","[1, 1, 1, 1, 1]",4,"31,21,28,27",77.56698520625035,-78.71975003696704
age,['antibiotic'],[1],1,0,65.14672909028498,97.45167557488215
reviewed,"['spectrum', 'studies', 'systematically']","[1, 1, 1]",2,"27,28",77.561736916741,-68.82845124878072
online,['published'],[1],0,,-85.68362806614324,414.4034034643328
original,['paper'],[1],0,,366.84798873444316,110.33923809542895
review,['systematic'],[1],0,,-306.7613864566719,-107.98625669050665
sawanti,['working'],[1],0,,122.34233589465687,-423.09901039014426
spacy,['summary'],[1],0,,-305.29035402405793,-189.9130922780005
spectrum,"['studies', 'systematically']","[1, 1]",1,28,74.35209473617861,-49.65004252445069
studies,"['study', 'systematically', 'types', 'wimberley']","[1, 1, 1, 1]",1,29,31.77832535923557,-4.9879392086455585
study,"['types', 'wimberley']","[1, 1]",0,,11.364207753079633,63.287703790688546
taken,['years'],[1],0,,-161.27873425881228,-280.1644171250039
observational,"['systematically', 'studies', 'spectrum', 'reviewed']","[1, 1, 1, 1]",3,"28,27,21",68.97539656638429,-75.99598621125494
group,"['higher', 'https', 'nificantly', 'sawanti', 'working']","[1, 1, 1, 1, 1]",2,"35,25",123.61823446623146,-428.51483149459193
hamad,['mahmud'],[1],0,,313.13293502793283,-177.5441643637391
hania,"['jan', 'ruth']","[1, 1]",1,37,432.59636574037694,-45.473331005818565
higher,['nificantly'],[1],0,,132.9907691938609,-430.9320893103017
involving,['study'],[1],1,29,-4.405670024070265,96.32430538772131
jan,['ruth'],[1],0,,429.90962548280817,-42.77785147615462
june,"['published', 'online']","[1, 1]",1,22,-87.896486718899,417.4954543988353
life,['spectrum'],[1],1,27,99.59952675410005,-32.12663883184135
lord,"['mean', 'niehus', 'number']","[1, 1, 1]",2,"41,42",-122.8014796092146,-403.9280638901406
mean,"['niehus', 'number']","[1, 1]",1,42,-127.31087666696227,-398.3376258299812
niehus,['number'],[1],0,,-127.8503808887472,-403.3785586829024
ntlk,['summary'],[1],0,,-311.1101757654933,-187.8016785274727
asd,"['children', 'exposure', 'involving', 'study']","[1, 1, 1, 1]",3,"1,36,29",-7.2121587329145855,102.0493078127103
associations,"['autism', 'disorders', 'evidence', 'observational', 'reviewed', 'spectrum', 'studies', 'systematically']","[1, 1, 1, 1, 1, 1, 1, 1]",7,"7,15,19,31,21,27,28",70.22844809468053,-61.28692731663362
antibiotics,['life'],[1],1,39,108.40790581414268,-32.95252527860134
