


































source,targets,weights,n_cites,cited_by,author,journal,title,cited_by_other_articles,year,topic_id
children,"['risk', 'studies', 'higher', 'palsy', 'disability', 'embryo', 'transfer', 'study', 'supplemental', 'intellectual', 'reported', 'table', 'icsi', 'risks', 'frozen', 'pregnancy', 'neurodevelopmental', 'findings', 'weight', 'exposure', 'multiple', 'ivf', 'low', 'compared', 'factors', 'number', 'use', 'summary', 'prevalence', 'increased', 'data', 'group', 'neonatal', 'metaanalysis', 'procedures', 'conclusion', 'ci', 'limitations', 'fresh', 'preterm', 'disorders', 'disorder', 'cryopreservation', 'conventional', 'movements', 'results', 'population', 'including', 'different', 'ous', 'potential', 'likely', 'similar']","[549, 477, 279, 270, 243, 243, 243, 243, 216, 216, 198, 189, 162, 162, 162, 135, 135, 135, 135, 126, 108, 108, 108, 108, 99, 99, 90, 90, 90, 90, 90, 90, 90, 90, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 81, 72, 72, 72, 63, 63, 63, 63, 63]",27,"4,8,12,14,17,16,34,44,20,9,26,49,27,19,35,33,7,46,48,45,47,43,42,10,28,15,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
antibiotic,"['studies', 'asd', 'exposure', 'association', 'use', 'data', 'reported', 'ci', 'children', 'study', 'autism', 'risk', 'model', 'pregnancy', 'performed', 'subsequent', 'including', 'anytime', 'diagnosis', 'antibiotics', 'metaanalysis', 'significant', 'included']","[400, 360, 280, 200, 200, 200, 200, 180, 180, 180, 160, 140, 120, 120, 120, 100, 100, 100, 80, 80, 80, 80, 80]",21,"8,2,7,11,10,9,15,0,34,13,4,23,19,24,25,29,40,39,28,32,41",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
asd,"['studies', 'exposure', 'children', 'reported', 'association', 'risk', 'study', 'data', 'use', 'ci', 'autism', 'pregnancy', 'model', 'performed', 'including', 'subsequent', 'metaanalysis', 'significant', 'diagnosis', 'included']","[393, 252, 243, 192, 180, 180, 180, 180, 180, 162, 150, 117, 108, 108, 93, 90, 78, 75, 72, 72]",18,"8,7,0,9,11,4,34,10,15,13,19,23,24,25,28,32,40,41",,,,,,0
art,"['children', 'risk', 'birth', 'cerebral', 'studies', 'palsy', 'higher', 'embryo', 'disability', 'transfer', 'intellectual', 'supplemental', 'table', 'study', 'frozen', 'risks', 'icsi', 'body', 'findings', 'bias', 'weight', 'neurodevelopmental']","[351, 234, 156, 156, 143, 130, 130, 117, 117, 117, 104, 104, 91, 78, 78, 78, 78, 78, 65, 65, 65, 65]",19,"0,4,5,6,8,14,12,16,17,20,44,34,27,49,26,18,33,21,35",,,,,,0
risk,"['studies', 'study', 'transfer', 'supplemental', 'table', 'risks', 'weight', 'use']","[338, 171, 162, 144, 126, 108, 90, 70]",4,"8,34,44,49",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
birth,"['children', 'risk', 'cerebral', 'studies', 'higher', 'palsy', 'transfer', 'disability', 'embryo', 'supplemental', 'intellectual', 'table', 'body', 'study', 'icsi', 'frozen', 'risks']","[324, 216, 144, 132, 120, 120, 108, 108, 108, 96, 96, 84, 72, 72, 72, 72, 72]",15,"0,4,6,8,12,14,17,16,44,20,18,34,26,27,49",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
cerebral,"['children', 'risk', 'studies', 'higher', 'palsy', 'disability', 'embryo', 'transfer', 'intellectual', 'supplemental', 'table', 'frozen', 'risks', 'study', 'icsi']","[324, 216, 132, 120, 120, 108, 108, 108, 96, 96, 84, 72, 72, 72, 72]",13,"0,4,8,12,14,17,16,20,44,27,49,34,26",Tono Djuwantono and Jenifer Kiem Aviani and Wiryawan Permadi and Tri Hanggono Achmad and Danny Halim,Journal of Neurodevelopmental Disorders,Risk of neurodevelopmental disorders in children born from different ART treatments: a systematic review and meta-analysis,,2020,0
exposure,"['studies', 'use', 'reported', 'study', 'risk', 'pregnancy', 'model', 'performed', 'including', 'subsequent']","[280, 140, 140, 126, 98, 84, 84, 84, 70, 70]",8,"8,9,34,4,19,23,24,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,,2019,0
studies,"['study', 'use', 'subsequent', 'transfer', 'supplemental', 'table']","[246, 200, 100, 99, 88, 77]",2,"34,44",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
reported,"['studies', 'risk', 'study', 'use']","[244, 142, 114, 100]",3,"8,4,34",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,2019,0
