source,targets,weights,n_cites,cited_by,author,journal,title,topic_id,cited_by_other_articles,year
bayesian,"['random', 'fixed', 'et', 'model', 'effects', 'frequentist', 'case', 'control', 'ﬁxed', 'study', 'metaanalysis', 'combined', 'children', 'trimester', 'ozone', 'exposure', 'postnatal', 'log', 'models', 'pollution', 'table', 'comparisons', 'pooled', 'volk', 'studies', 'fig', 'units', 'chun', 'effect', 'methods', 'environmental', 'born', 'goodrich', 'statistically', 'signiﬁcance', 'indicates', 'number', 'bold', 'charge', 'orlow', 'orup', 'toxics', 'scale', 'preconception', 'pre', 'pollutant', 'guxens']","[2928, 1680, 1296, 1200, 912, 864, 720, 672, 624, 576, 528, 480, 480, 432, 384, 384, 384, 384, 336, 336, 336, 336, 336, 288, 288, 288, 288, 288, 288, 288, 288, 240, 240, 240, 240, 240, 240, 240, 240, 240, 240, 192, 192, 192, 192, 192, 192]",37,"12,1,2,4,6,7,9,10,16,19,17,24,15,22,23,29,30,28,27,25,34,35,31,32,33,45,46,44,43,49,48,47,50,57,55,56,58",,,,,,
fixed,"['random', 'model', 'frequentist', 'ﬁxed', 'study', 'metaanalysis', 'trimester', 'postnatal', 'ozone', 'log', 'pooled', 'table', 'pollution', 'models', 'studies', 'methods', 'units', 'volk', 'number', 'statistically', 'orlow', 'orup', 'goodrich', 'signiﬁcance', 'indicates']","[2137, 881, 630, 455, 429, 389, 317, 281, 280, 280, 246, 245, 245, 245, 230, 211, 210, 210, 177, 175, 175, 175, 175, 175, 175]",17,"12,4,7,16,22,24,23,27,30,29,25,32,43,47,50,46,44",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,,2019
et,"['random', 'fixed', 'model', 'frequentist', 'study', 'maternal', 'ﬁxed', 'postnatal', 'metaanalysis', 'exposure', 'ethnicity', 'income', 'trimester', 'year', 'log', 'ozone', 'gender', 'smoking', 'models', 'pooled', 'table', 'pollution', 'studies', 'volk', 'pregnancy', 'nox']","[1649, 946, 700, 486, 390, 364, 351, 331, 301, 287, 267, 247, 245, 245, 216, 216, 210, 210, 208, 190, 189, 189, 182, 181, 174, 168]",19,"12,1,4,7,13,22,16,15,51,54,23,24,61,26,29,27,30,25,52",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,3,",2021
al,"['random', 'bayesian', 'et', 'fixed', 'model', 'birth', 'case', 'control', 'effects', 'frequentist', 'study', 'maternal', 'education', 'ﬁxed', 'postnatal', 'metaanalysis', 'exposure', 'children', 'combined', 'ethnicity', 'trimester', 'income', 'year', 'ozone', 'log', 'models', 'smoking', 'gender', 'pooled', 'table', 'comparisons', 'pollution', 'asd', 'studies', 'volk', 'pregnancy']","[1588, 1248, 1045, 911, 674, 548, 534, 508, 497, 468, 375, 345, 343, 338, 317, 290, 276, 269, 260, 253, 236, 234, 233, 208, 208, 200, 199, 199, 183, 182, 182, 182, 176, 176, 174, 166]",30,"12,0,2,1,4,20,9,10,6,7,13,36,22,16,15,17,19,51,54,24,23,29,26,61,27,28,30,5,25,52",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,3,",2021
model,"['random', 'study', 'ﬁxed', 'studies', 'postnatal', 'trimester', 'ozone', 'pooled', 'models', 'pollution', 'table']","[1537, 371, 325, 286, 240, 237, 200, 181, 176, 175, 175]",7,"12,25,22,24,27,29,30",Fr\'ed\'eric Dutheil and Aur\'elie Comptour and Roxane Morlon and Martial Mermillod and Bruno Pereira and Julien S. Baker and Morteza Charkhabi and Maëlys Clinchamps and Nicolas Bourdel,Environmental Pollution,Autism spectrum disorder and air pollution: A systematic review and meta-analysis,0,"1,3,6,",2021
asd,"['exposure', 'studies', 'smoking', 'risk', 'study', 'maternal', 'children', 'postnatal', 'use', 'data', 'association', 'reported', 'pregnancy', 'random', 'results', 'prenatal', 'model', 'significant', 'metaanalysis', 'smoke', 'autism', 'included', 'bayesian', 'increased', 'did', 'birth', 'ci', 'early', 'et', 'population', 'used']","[1185, 869, 743, 730, 565, 471, 427, 404, 402, 391, 388, 368, 287, 280, 266, 263, 259, 235, 230, 220, 202, 196, 192, 191, 191, 187, 186, 186, 183, 180, 179]",26,"15,25,26,21,13,17,22,42,40,39,52,12,83,65,4,53,16,38,64,0,84,20,67,63,2,81",,,,,,
effects,"['random', 'fixed', 'et', 'model', 'frequentist', 'study', 'ﬁxed', 'metaanalysis', 'exposure', 'studies', 'trimester']","[1165, 668, 516, 493, 342, 263, 247, 224, 205, 187, 177]",8,"12,1,2,4,7,16,15,25",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"2,3,",2019
frequentist,"['random', 'model', 'ﬁxed', 'study', 'metaanalysis']","[1098, 450, 234, 216, 198]",3,"12,4,16",HeeKyoung Chun and Cheryl Leung and Shi Wu Wen and Judy McDonald and Hwashin H. Shin,Environmental Pollution,Maternal exposure to air pollution and risk of autism in children: A systematic review and meta-analysis,3,,2020
antibiotic,"['exposure', 'asd', 'risk', 'studies', 'use', 'postnatal', 'study', 'children', 'prenatal', 'reported', 'association', 'data', 'early', 'autism', 'ci', 'results', 'increased', 'model']","[1064, 1032, 644, 624, 452, 412, 376, 348, 292, 284, 284, 256, 216, 216, 208, 208, 188, 176]",16,"15,5,21,25,22,17,65,39,40,42,63,64,67,83,84,4",Jan \Lukasik and   and Bernadeta Patro-Go\l\kab and Andrea Horvath and Ruth Baron and Hania Szajewska,Journal of Autism and Developmental Disorders,Early Life Exposure to Antibiotics and Autism Spectrum Disorders: A Systematic Review,1,"6,",2019
case,"['random', 'et', 'fixed', 'model', 'effects', 'control', 'frequentist', 'study', 'ﬁxed', 'postnatal', 'metaanalysis']","[915, 557, 525, 383, 285, 274, 270, 204, 195, 168, 165]",9,"12,2,1,4,6,10,7,22,16",,,,,,
