source,targets,weights,n_cites,cited_by,author,journal,title,topic_id,cited_by_other_articles,year
bayesian,"['random', 'fixed', 'et', 'model', 'effects', 'frequentist', 'case', 'control', 'ﬁxed', 'study', 'metaanalysis', 'combined', 'children', 'trimester', 'ozone', 'exposure', 'postnatal', 'log', 'models', 'pollution', 'table', 'comparisons', 'pooled', 'volk', 'studies', 'fig', 'units', 'chun', 'effect', 'methods', 'environmental', 'born', 'goodrich', 'statistically', 'signiﬁcance', 'indicates', 'number', 'bold', 'charge', 'orlow', 'orup']","[2928, 1680, 1296, 1200, 912, 864, 720, 672, 624, 576, 528, 480, 480, 432, 384, 384, 384, 384, 336, 336, 336, 336, 336, 288, 288, 288, 288, 288, 288, 288, 288, 240, 240, 240, 240, 240, 240, 240, 240, 240, 240]",33,"12,1,2,4,6,7,9,10,16,19,17,24,15,22,23,29,30,28,27,25,34,35,31,32,33,45,46,44,43,49,48,47,50",,,,,,
fixed,"['random', 'model', 'frequentist', 'ﬁxed', 'study', 'metaanalysis', 'trimester', 'postnatal', 'ozone', 'log', 'pooled', 'table', 'pollution', 'models']","[2137, 881, 630, 455, 429, 389, 317, 281, 280, 280, 246, 245, 245, 245]",10,"12,4,7,16,22,24,23,27,30,29",,,,1,,
et,"['random', 'fixed', 'model', 'frequentist', 'study', 'maternal', 'ﬁxed', 'postnatal', 'metaanalysis', 'exposure', 'ethnicity', 'income', 'trimester', 'year']","[1649, 946, 700, 486, 390, 364, 351, 331, 301, 287, 267, 247, 245, 245]",10,"12,1,4,7,13,22,16,15,51,54",,,,3,,
al,"['random', 'bayesian', 'et', 'fixed', 'model', 'birth', 'case', 'control', 'effects', 'frequentist', 'study', 'maternal', 'education', 'ﬁxed', 'postnatal', 'metaanalysis', 'exposure', 'children', 'combined', 'ethnicity', 'trimester', 'income', 'year']","[1588, 1248, 1045, 911, 674, 548, 534, 508, 497, 468, 375, 345, 343, 338, 317, 290, 276, 269, 260, 253, 236, 234, 233]",19,"12,0,2,1,4,20,9,10,6,7,13,36,22,16,15,17,19,51,54",,,,3,,
model,"['random', 'study', 'ﬁxed', 'studies', 'postnatal', 'trimester']","[1537, 371, 325, 286, 240, 237]",3,"12,25,22",,,,6,,
asd,"['exposure', 'studies', 'smoking', 'risk', 'study', 'maternal', 'children', 'postnatal', 'use', 'data', 'association', 'reported', 'pregnancy', 'random', 'results', 'prenatal', 'model', 'significant']","[1185, 869, 743, 730, 565, 471, 427, 404, 402, 391, 388, 368, 287, 280, 266, 263, 259, 235]",14,"15,25,26,21,13,17,22,42,40,39,52,12,4,53",,,,,,
effects,"['random', 'fixed', 'et', 'model', 'frequentist', 'study', 'ﬁxed']","[1165, 668, 516, 493, 342, 263, 247]",5,"12,1,2,4,7",,,,3,,
frequentist,"['random', 'model', 'ﬁxed']","[1098, 450, 234]",2,"12,4",,,,3,,
antibiotic,"['exposure', 'asd', 'risk', 'studies', 'use', 'postnatal', 'study', 'children', 'prenatal', 'reported', 'association', 'data']","[1064, 1032, 644, 624, 452, 412, 376, 348, 292, 284, 284, 256]",9,"15,5,21,25,22,17,39,40,42",,,,6,,
case,"['random', 'et', 'fixed', 'model', 'effects', 'control', 'frequentist']","[915, 557, 525, 383, 285, 274, 270]",7,"12,2,1,4,6,10,7",,,,,,
control,"['random', 'et', 'fixed', 'model', 'effects', 'frequentist']","[854, 530, 490, 362, 267, 252]",6,"12,2,1,4,6,7",,,,6,,
air,"['random', 'bayesian', 'fixed', 'et', 'al', 'model', 'effects', 'frequentist']","[793, 624, 455, 427, 410, 329, 247, 234]",8,"12,0,1,2,3,4,6,7",,,,3,,
random,"['ﬁxed', 'study', 'trimester', 'table', 'studies', 'units', 'volk', 'statistically', 'signiﬁcance', 'toxics', 'scale']","[793, 750, 553, 427, 406, 366, 366, 305, 305, 244, 244]",1,25,,,,3,,
maternal,"['smoking', 'studies', 'pregnancy']","[770, 294, 240]",3,"26,25,52",,,,2,,
age,"['birth', 'et', 'al', 'maternal', 'education', 'ethnicity', 'income', 'smoking', 'exposure', 'asd', 'gender', 'risk', 'year', 'control', 'case']","[699, 542, 515, 471, 461, 341, 312, 281, 278, 270, 269, 251, 251, 242, 237]",13,"20,2,3,13,36,51,54,26,15,5,21,10,9",,,,6,,
exposure,"['studies', 'risk', 'random', 'study', 'postnatal', 'smoking', 'use', 'model', 'maternal', 'prenatal', 'fixed', 'reported', 'results', 'metaanalysis']","[695, 675, 516, 515, 488, 472, 398, 343, 297, 296, 294, 287, 240, 233]",10,"25,21,12,22,26,4,13,1,39,16",,,,6,,
metaanalysis,"['random', 'model']","[679, 303]",2,"12,4",,,,6,,
children,"['risk', 'random', 'studies', 'study', 'exposure', 'fixed', 'model', 'higher', 'et', 'palsy', 'table', 'embryo', 'disability', 'transfer']","[657, 628, 585, 405, 374, 359, 316, 285, 279, 270, 259, 243, 243, 243]",7,"21,12,25,15,1,4,2",,,,6,,
adjusted,"['birth', 'age', 'maternal', 'education', 'et', 'al', 'ethnicity', 'income', 'smoking', 'gender']","[612, 519, 426, 402, 402, 381, 297, 273, 265, 234]",9,"20,14,13,36,2,3,51,54,26",,,,2,,
combined,"['random', 'fixed', 'et', 'model']","[610, 350, 270, 250]",4,"12,1,2,4",,,,3,,
